x y
0.0004 25.9775
0.00107586 25.8575
0.00175172 25.6371
0.00242759 25.3207
0.00310345 24.9152
0.00377931 24.429
0.00445517 23.8719
0.00513103 23.255
0.0058069 22.5902
0.00648276 21.8896
0.00715862 21.1655
0.00783448 20.4297
0.00851034 19.6934
0.00918621 18.9671
0.00986207 18.2599
0.0105379 17.5796
0.0112138 16.933
0.0118897 16.325
0.0125655 15.7594
0.0132414 15.2387
0.0139172 14.764
0.0145931 14.3353
0.015269 13.9517
0.0159448 13.6117
0.0166207 13.3128
0.0172966 13.0524
0.0179724 12.8272
0.0186483 12.6341
0.0193241 12.4697
0.02 12.3307
0.05 11.4649
0.1 10.9583
0.15 10.4789
0.2 10.0252
0.25 9.59572
0.3 9.18924
0.35 8.80451
0.4 8.44036
0.45 8.09571
0.5 7.7695
0.55 7.46074
0.6 7.16851
0.65 6.89192
0.7 6.63013
0.75 6.38235
0.8 6.14783
0.85 5.92586
0.9 5.71577
0.95 5.51692
1 5.32871
1.05 5.15058
1.1 4.98197
1.15 4.82239
1.2 4.67135
1.25 4.5284
1.3 4.39309
1.35 4.26502
1.4 4.14381
1.45 4.02909
1.5 3.9205
1.55 3.81772
1.6 3.72045
1.65 3.62838
1.7 3.54124
1.75 3.45876
1.8 3.38069
1.85 3.3068
1.9 3.23687
1.95 3.17068
2 3.10803
2.05 3.04874
2.1 2.99261
2.15 2.93949
2.2 2.88922
2.25 2.84163
2.3 2.79659
2.35 2.75396
2.4 2.71361
2.45 2.67542
2.5 2.63928
2.55 2.60507
2.6 2.57269
2.65 2.54204
2.7 2.51303
2.75 2.48558
2.8 2.45959
2.85 2.435
2.9 2.41172
2.95 2.38969
3 2.36883
