x y
0 5
0.200401 5.19958
0.400802 5.39695
0.601202 5.59123
0.801603 5.78159
1.002 5.96719
1.2024 6.14725
1.40281 6.32099
1.60321 6.48769
1.80361 6.64665
2.00401 6.79722
2.20441 6.93877
2.40481 7.07074
2.60521 7.1926
2.80561 7.30387
3.00601 7.40414
3.20641 7.49303
3.40681 7.57021
3.60721 7.63542
3.80762 7.68846
4.00802 7.72915
4.20842 7.75742
4.40882 7.7732
4.60922 7.77653
4.80962 7.76745
5.01002 7.7461
5.21042 7.71266
5.41082 7.66734
5.61122 7.61044
5.81162 7.54229
6.01202 7.46326
6.21242 7.37377
6.41283 7.27431
6.61323 7.16536
6.81363 7.0475
7.01403 6.92129
7.21443 6.78736
7.41483 6.64635
7.61523 6.49895
7.81563 6.34585
8.01603 6.18777
8.21643 6.02544
8.41683 5.85963
8.61723 5.69109
8.81764 5.52059
9.01804 5.34891
9.21844 5.17681
9.41884 5.00508
9.61924 4.83446
9.81964 4.66572
10.02 4.49959
10.2204 4.3368
10.4208 4.17804
10.6212 4.02401
10.8216 3.87535
11.022 3.7327
11.2224 3.59664
11.4228 3.46774
11.6232 3.34653
11.8236 3.2335
12.024 3.12909
12.2244 3.03371
12.4248 2.94774
12.6253 2.87148
12.8257 2.80522
13.0261 2.74918
13.2265 2.70354
13.4269 2.66845
13.6273 2.64397
13.8277 2.63017
14.0281 2.62701
14.2285 2.63446
14.4289 2.65239
14.6293 2.68067
14.8297 2.7191
15.0301 2.76744
15.2305 2.82541
15.4309 2.89268
15.6313 2.9689
15.8317 3.05366
16.0321 3.14653
16.2325 3.24704
16.4329 3.3547
16.6333 3.46898
16.8337 3.58931
17.0341 3.71514
17.2345 3.84585
17.4349 3.98083
17.6353 4.11946
17.8357 4.26109
18.0361 4.40507
18.2365 4.55075
18.4369 4.69745
18.6373 4.84453
18.8377 4.99132
19.0381 5.13717
19.2385 5.28144
19.4389 5.4235
19.6393 5.56272
19.8397 5.69851
20.0401 5.83028
20.2405 5.95747
20.4409 6.07955
20.6413 6.196
20.8417 6.30635
21.0421 6.41014
21.2425 6.50696
21.4429 6.59641
21.6433 6.67816
21.8437 6.75188
22.0441 6.8173
22.2445 6.87419
22.4449 6.92234
22.6453 6.96161
22.8457 6.99187
23.0461 7.01306
23.2465 7.02513
23.4469 7.02809
23.6473 7.022
23.8477 7.00693
24.0481 6.98302
24.2485 6.95044
24.4489 6.90937
24.6493 6.86007
24.8497 6.80281
25.0501 6.73789
25.2505 6.66566
25.4509 6.58649
25.6513 6.50078
25.8517 6.40894
26.0521 6.31144
26.2525 6.20874
26.4529 6.10134
26.6533 5.98975
26.8537 5.87448
27.0541 5.75609
27.2545 5.63512
27.4549 5.51212
27.6553 5.38765
27.8557 5.26229
28.0561 5.1366
28.2565 5.01113
28.4569 4.88644
28.6573 4.7631
28.8577 4.64163
29.0581 4.52257
29.2585 4.40642
29.4589 4.2937
29.6593 4.18487
29.8597 4.0804
30.0601 3.98073
30.2605 3.88626
30.4609 3.79739
30.6613 3.71446
30.8617 3.63782
31.0621 3.56776
31.2625 3.50455
31.4629 3.44842
31.6633 3.39959
31.8637 3.35821
32.0641 3.32442
32.2645 3.29833
32.4649 3.27999
32.6653 3.26945
32.8657 3.26668
33.0661 3.27166
33.2665 3.28431
33.4669 3.30452
33.6673 3.33216
33.8677 3.36704
34.0681 3.40897
34.2685 3.45771
34.4689 3.513
34.6693 3.57455
34.8697 3.64204
35.0701 3.71513
35.2705 3.79347
35.4709 3.87666
35.6713 3.9643
35.8717 4.05598
36.0721 4.15125
36.2725 4.24967
36.4729 4.35078
36.6733 4.45411
36.8737 4.55919
37.0741 4.66553
37.2745 4.77265
37.4749 4.88008
37.6754 4.98732
37.8758 5.0939
38.0762 5.19936
38.2766 5.30323
38.477 5.40505
38.6774 5.50439
38.8778 5.60082
39.0782 5.69393
39.2786 5.78333
39.479 5.86864
39.6794 5.94951
39.8798 6.02562
40.0802 6.09664
40.2806 6.16231
40.481 6.22235
40.6814 6.27655
40.8818 6.3247
41.0822 6.36662
41.2826 6.40218
41.483 6.43125
41.6834 6.45374
41.8838 6.46961
42.0842 6.47882
42.2846 6.48138
42.485 6.47732
42.6854 6.4667
42.8858 6.44962
43.0862 6.42619
43.2866 6.39656
43.487 6.3609
43.6874 6.31941
43.8878 6.27232
44.0882 6.21988
44.2886 6.16234
44.489 6.10001
44.6894 6.03319
44.8898 5.96221
45.0902 5.88742
45.2906 5.80916
45.491 5.72782
45.6914 5.64378
45.8918 5.55743
46.0922 5.46917
46.2926 5.37941
46.493 5.28856
46.6934 5.19702
46.8938 5.10521
47.0942 5.01355
47.2946 4.92243
47.495 4.83227
47.6954 4.74346
47.8958 4.65638
48.0962 4.57141
48.2966 4.48892
48.497 4.40926
48.6974 4.33275
48.8978 4.25974
49.0982 4.1905
49.2986 4.12534
49.499 4.06451
49.6994 4.00825
49.8998 3.95678
50.1002 3.91031
50.3006 3.86901
50.501 3.83302
50.7014 3.80247
50.9018 3.77746
51.1022 3.75807
51.3026 3.74434
51.503 3.7363
51.7034 3.73394
51.9038 3.73725
52.1042 3.74615
52.3046 3.76059
52.505 3.78046
52.7054 3.80563
52.9058 3.83595
53.1062 3.87126
53.3066 3.91137
53.507 3.95606
53.7074 4.0051
53.9078 4.05826
54.1082 4.11525
54.3086 4.17581
54.509 4.23964
54.7094 4.30644
54.9098 4.37588
55.1102 4.44764
55.3106 4.52138
55.511 4.59677
55.7114 4.67345
55.9118 4.75108
56.1122 4.8293
56.3126 4.90776
56.513 4.9861
56.7134 5.06399
56.9138 5.14108
57.1142 5.21702
57.3146 5.29149
57.515 5.36416
57.7154 5.43473
57.9158 5.50289
58.1162 5.56836
58.3166 5.63085
58.517 5.69012
58.7174 5.74592
58.9178 5.79802
59.1182 5.84622
59.3186 5.89033
59.519 5.93017
59.7194 5.96561
59.9198 5.9965
60.1202 6.02275
60.3206 6.04426
60.521 6.06098
60.7214 6.07286
60.9218 6.07987
61.1222 6.08203
61.3226 6.07935
61.523 6.07188
61.7234 6.05968
61.9238 6.04283
62.1242 6.02146
62.3246 5.99567
62.5251 5.96562
62.7255 5.93146
62.9259 5.89338
63.1263 5.85157
63.3267 5.80624
63.5271 5.75763
63.7275 5.70595
63.9279 5.65148
64.1283 5.59447
64.3287 5.53518
64.5291 5.47391
64.7295 5.41093
64.9299 5.34654
65.1303 5.28104
65.3307 5.21471
65.5311 5.14787
65.7315 5.08082
65.9319 5.01386
66.1323 4.94727
66.3327 4.88137
66.5331 4.81644
66.7335 4.75275
66.9339 4.69059
67.1343 4.63022
67.3347 4.57191
67.5351 4.51589
67.7355 4.4624
67.9359 4.41166
68.1363 4.36388
68.3367 4.31925
68.5371 4.27796
68.7375 4.24016
68.9379 4.206
69.1383 4.1756
69.3387 4.14908
69.5391 4.12653
69.7395 4.10802
69.9399 4.09361
70.1403 4.08334
70.3407 4.07722
70.5411 4.07525
70.7415 4.07742
70.9419 4.08369
71.1423 4.094
71.3427 4.10827
71.5431 4.12643
71.7435 4.14836
71.9439 4.17394
72.1443 4.20303
72.3447 4.23548
72.5451 4.27112
72.7455 4.30977
72.9459 4.35124
73.1463 4.39532
73.3467 4.44181
73.5471 4.49047
73.7475 4.54108
73.9479 4.5934
74.1483 4.64719
74.3487 4.70219
74.5491 4.75815
74.7495 4.81481
74.9499 4.87192
75.1503 4.92923
75.3507 4.98646
75.5511 5.04338
75.7515 5.09973
75.9519 5.15525
76.1523 5.20971
76.3527 5.26288
76.5531 5.31452
76.7535 5.36441
76.9539 5.41235
77.1543 5.45813
77.3547 5.50157
77.5551 5.54248
77.7555 5.5807
77.9559 5.61608
78.1563 5.64847
78.3567 5.67776
78.5571 5.70384
78.7575 5.7266
78.9579 5.74598
79.1583 5.7619
79.3587 5.77432
79.5591 5.7832
79.7595 5.78854
79.9599 5.79032
80.1603 5.78857
80.3607 5.78332
80.5611 5.77461
80.7615 5.76251
80.9619 5.74709
81.1623 5.72844
81.3627 5.70667
81.5631 5.6819
81.7635 5.65425
81.9639 5.62387
82.1643 5.59091
82.3647 5.55554
82.5651 5.51793
82.7655 5.47826
82.9659 5.43672
83.1663 5.39351
83.3667 5.34884
83.5671 5.3029
83.7675 5.25593
83.9679 5.20812
84.1683 5.15971
84.3687 5.11091
84.5691 5.06194
84.7695 5.01302
84.9699 4.96436
85.1703 4.91619
85.3707 4.86871
85.5711 4.82214
85.7715 4.77666
85.9719 4.73249
86.1723 4.6898
86.3727 4.64878
86.5731 4.60959
86.7735 4.57241
86.9739 4.53738
87.1743 4.50465
87.3747 4.47434
87.5752 4.44657
87.7756 4.42146
87.976 4.39909
88.1764 4.37956
88.3768 4.36291
88.5772 4.34922
88.7776 4.33851
88.978 4.33083
89.1784 4.32618
89.3788 4.32456
89.5792 4.32597
89.7796 4.33037
89.98 4.33772
90.1804 4.34798
90.3808 4.36108
90.5812 4.37693
90.7816 4.39546
90.982 4.41656
91.1824 4.44012
91.3828 4.46601
91.5832 4.49412
91.7836 4.52429
91.984 4.55638
92.1844 4.59024
92.3848 4.62569
92.5852 4.66258
92.7856 4.70072
92.986 4.73995
93.1864 4.78007
93.3868 4.82091
93.5872 4.86227
93.7876 4.90397
93.988 4.94583
94.1884 4.98764
94.3888 5.02923
94.5892 5.07041
94.7896 5.11101
94.99 5.15084
95.1904 5.18974
95.3908 5.22752
95.5912 5.26405
