x 50_k err
0.0004 26.4877 0.35
0.001184 25.19 0.35
0.001968 25.6505 0.35
0.002752 24.9948 0.35
0.003536 24.4996 0.35
0.00432 23.9346 0.35
0.005104 22.7757 0.35
0.005888 22.4498 0.35
0.006672 21.4724 0.35
0.007456 21.6732 0.35
0.00824 20.0438 0.35
0.009024 19.0519 0.35
0.009808 18.2452 0.35
0.010592 17.3596 0.35
0.011376 16.5196 0.35
0.01216 15.9958 0.35
0.012944 15.5827 0.35
0.013728 14.8326 0.35
0.014512 14.6237 0.35
0.015296 13.8874 0.35
0.01608 13.5548 0.35
0.016864 13.6012 0.35
0.017648 13.0673 0.35
0.018432 12.5663 0.35
0.019216 12.4485 0.35
0.02 12.4658 0.35
0.05 11.9486 0.35
0.117045 10.7245 0.35
0.184091 10.106 0.35
0.251136 9.83681 0.35
0.318182 8.82527 0.35
0.385227 8.47295 0.35
0.452273 8.30112 0.35
0.519318 7.79328 0.35
0.586364 7.2695 0.35
0.653409 7.04114 0.35
0.720455 5.82008 0.35
0.7875 6.46058 0.35
0.854545 5.66637 0.35
0.921591 5.2114 0.35
0.988636 5.43969 0.35
1.05568 5.30608 0.35
1.12273 4.79716 0.35
1.18977 4.43247 0.35
1.25682 4.51604 0.35
1.32386 4.3179 0.35
1.39091 4.51676 0.35
1.45795 4.19826 0.35
1.525 3.91686 0.35
1.59205 4.01348 0.35
1.65909 3.5608 0.35
1.72614 3.26608 0.35
1.79318 3.5371 0.35
1.86023 3.43782 0.35
1.92727 3.14661 0.35
1.99432 2.91928 0.35
2.06136 3.093 0.35
2.12841 2.3386 0.35
2.19545 3.0662 0.35
2.2625 2.95298 0.35
2.32955 2.3614 0.35
2.39659 2.73163 0.35
2.46364 2.42434 0.35
2.53068 2.80737 0.35
2.59773 2.06558 0.35
2.66477 2.30468 0.35
2.73182 2.67278 0.35
2.79886 2.74927 0.35
2.86591 1.88795 0.35
2.93295 2.27255 0.35
3 2.45084 0.35
