x h_8_t
1.5 0.0500234
1.66583 0.0500298
1.83166 0.0500377
1.99749 0.0500477
2.16332 0.0500601
2.32915 0.0500755
2.49497 0.0500947
2.6608 0.0501183
2.82663 0.0501475
2.99246 0.0501834
3.15829 0.0502274
3.32412 0.0502812
3.48995 0.0503468
3.65578 0.0504264
3.82161 0.050523
3.98744 0.0506397
4.15327 0.0507804
4.3191 0.0509493
4.48492 0.0511517
4.65075 0.0513935
4.81658 0.0516814
4.98241 0.0520232
5.14824 0.052428
5.31407 0.0529059
5.4799 0.0534683
5.64573 0.0541284
5.81156 0.0549007
5.97739 0.0558016
6.14322 0.0568496
6.30905 0.0580649
6.47487 0.0594699
6.6407 0.0610896
6.80653 0.062951
6.97236 0.0650837
7.13819 0.0675199
7.30402 0.0702943
7.46985 0.0734441
7.63568 0.0770092
7.80151 0.0810318
7.96734 0.0855567
8.13317 0.0906307
8.29899 0.0963026
8.46482 0.102623
8.63065 0.109643
8.79648 0.117417
8.96231 0.125996
9.12814 0.135434
9.29397 0.145784
9.4598 0.157096
9.62563 0.169417
9.79146 0.182795
9.95729 0.19727
10.1231 0.21288
10.2889 0.229654
10.4548 0.247617
10.6206 0.266785
10.7864 0.287167
10.9523 0.308759
11.1181 0.331551
11.2839 0.355517
11.4497 0.380622
11.6156 0.406818
11.7814 0.434044
11.9472 0.462223
12.1131 0.491267
12.2789 0.521075
12.4447 0.551529
12.6106 0.582501
12.7764 0.613849
12.9422 0.64542
13.108 0.677051
13.2739 0.708567
13.4397 0.739788
13.6055 0.770525
13.7714 0.800587
13.9372 0.829778
14.103 0.857903
14.2688 0.884768
14.4347 0.910182
14.6005 0.933962
14.7663 0.95593
14.9322 0.975921
15.098 0.993782
15.2638 1.00937
15.4296 1.02257
15.5955 1.03327
15.7613 1.04139
15.9271 1.04686
16.093 1.04963
16.2588 1.04969
16.4246 1.04703
16.5905 1.04167
16.7563 1.03367
16.9221 1.02308
17.0879 1.00998
17.2538 0.99449
17.4196 0.976723
17.5854 0.956819
17.7513 0.934932
17.9171 0.911225
18.0829 0.885877
18.2487 0.85907
18.4146 0.830994
18.5804 0.801844
18.7462 0.771815
18.9121 0.741102
19.0779 0.709898
19.2437 0.678391
19.4095 0.646762
19.5754 0.615185
19.7412 0.583824
19.907 0.552833
20.0729 0.522354
20.2387 0.492517
20.4045 0.463438
20.5704 0.43522
20.7362 0.407953
20.902 0.381712
21.0678 0.356559
21.2337 0.332543
21.3995 0.309702
21.5653 0.288058
21.7312 0.267625
21.897 0.248405
22.0628 0.230391
22.2286 0.213567
22.3945 0.197909
22.5603 0.183387
22.7261 0.169963
22.892 0.157597
23.0578 0.146244
23.2236 0.135854
23.3894 0.126379
23.5553 0.117764
23.7211 0.109957
23.8869 0.102906
24.0528 0.0965571
24.2186 0.0908588
24.3844 0.0857604
24.5503 0.0812132
24.7161 0.0771702
24.8819 0.0735866
25.0477 0.07042
25.2136 0.0676305
25.3794 0.0651806
25.5452 0.0630357
25.7111 0.0611634
25.8769 0.0595341
26.0427 0.0581204
26.2085 0.0568976
26.3744 0.055843
26.5402 0.0549361
26.706 0.0541587
26.8719 0.0534942
27.0377 0.0529279
27.2035 0.0524467
27.3693 0.0520391
27.5352 0.0516947
27.701 0.0514047
27.8668 0.0511611
28.0327 0.0509572
28.1985 0.0507869
28.3643 0.0506452
28.5302 0.0505275
28.696 0.0504302
28.8618 0.0503498
29.0276 0.0502837
29.1935 0.0502295
29.3593 0.0501851
29.5251 0.0501489
29.691 0.0501194
29.8568 0.0500956
30.0226 0.0500762
30.1884 0.0500607
30.3543 0.0500481
30.5201 0.0500381
30.6859 0.0500301
30.8518 0.0500237
31.0176 0.0500186
31.1834 0.0500145
31.3492 0.0500114
31.5151 0.0500088
31.6809 0.0500069
31.8467 0.0500053
32.0126 0.0500041
32.1784 0.0500032
32.3442 0.0500024
32.5101 0.0500019
32.6759 0.0500014
32.8417 0.0500011
33.0075 0.0500008
33.1734 0.0500006
33.3392 0.0500005
33.505 0.0500004
33.6709 0.0500003
33.8367 0.0500002
34.0025 0.0500001
34.1683 0.0500001
34.3342 0.0500001
34.5 0.0500001
