x y
0 24.9
0.000338983 24.8875
0.000677966 24.8535
0.00101695 24.7982
0.00135593 24.722
0.00169492 24.625
0.0020339 24.5079
0.00237288 24.3711
0.00271186 24.2154
0.00305085 24.0414
0.00338983 23.85
0.00372881 23.6421
0.0040678 23.4187
0.00440678 23.1807
0.00474576 22.9292
0.00508475 22.6654
0.00542373 22.3903
0.00576271 22.1053
0.00610169 21.8114
0.00644068 21.5098
0.00677966 21.2019
0.00711864 20.8887
0.00745763 20.5715
0.00779661 20.2514
0.00813559 19.9295
0.00847458 19.6071
0.00881356 19.2851
0.00915254 18.9645
0.00949153 18.6464
0.00983051 18.3316
0.0101695 18.0209
0.0105085 17.7153
0.0108475 17.4154
0.0111864 17.1219
0.0115254 16.8355
0.0118644 16.5565
0.0122034 16.2856
0.0125424 16.0231
0.0128814 15.7693
0.0132203 15.5246
0.0135593 15.2892
0.0138983 15.0631
0.0142373 14.8467
0.0145763 14.6398
0.0149153 14.4425
0.0152542 14.2547
0.0155932 14.0764
0.0159322 13.9075
0.0162712 13.7477
0.0166102 13.5969
0.0169492 13.4549
0.0172881 13.3215
0.0176271 13.1963
0.0179661 13.079
0.0183051 12.9695
0.0186441 12.8673
0.0189831 12.7721
0.019322 12.6837
0.019661 12.6017
0.02 12.5258
0.0387421 11.7
0.0574843 11.6043
0.0762264 11.51
0.0949686 11.4165
0.113711 11.3241
0.132453 11.2325
0.151195 11.142
0.169937 11.0523
0.188679 10.9636
0.207421 10.8758
0.226164 10.7888
0.244906 10.7028
0.263648 10.6177
0.28239 10.5334
0.301132 10.45
0.319874 10.3674
0.338616 10.2857
0.357358 10.2048
0.376101 10.1248
0.394843 10.0456
0.413585 9.96718
0.432327 9.88957
0.451069 9.81277
0.469811 9.73675
0.488553 9.66151
0.507296 9.58704
0.526038 9.51333
0.54478 9.44039
0.563522 9.36818
0.582264 9.29672
0.601006 9.226
0.619748 9.15599
0.638491 9.08671
0.657233 9.01814
0.675975 8.95027
0.694717 8.88309
0.713459 8.81661
0.732201 8.7508
0.750943 8.68567
0.769686 8.62121
0.788428 8.55741
0.80717 8.49427
0.825912 8.43177
0.844654 8.36991
0.863396 8.30869
0.882138 8.24809
0.900881 8.18812
0.919623 8.12876
0.938365 8.07001
0.957107 8.01186
0.975849 7.95431
0.994591 7.89735
1.01333 7.84098
1.03208 7.78518
1.05082 7.72995
1.06956 7.67529
1.0883 7.62119
1.10704 7.56765
1.12579 7.51465
1.14453 7.4622
1.16327 7.41029
1.18201 7.3589
1.20075 7.30805
1.2195 7.25772
1.23824 7.2079
1.25698 7.15859
1.27572 7.10979
1.29447 7.06149
1.31321 7.01369
1.33195 6.96637
1.35069 6.91954
1.36943 6.8732
1.38818 6.82732
1.40692 6.78192
1.42566 6.73698
1.4444 6.6925
1.46314 6.64848
1.48189 6.60491
1.50063 6.56179
1.51937 6.51911
1.53811 6.47687
1.55686 6.43506
1.5756 6.39368
1.59434 6.35272
1.61308 6.31219
1.63182 6.27207
1.65057 6.23236
1.66931 6.19306
1.68805 6.15416
1.70679 6.11566
1.72553 6.07755
1.74428 6.03984
1.76302 6.00251
1.78176 5.96557
1.8005 5.929
1.81925 5.89281
1.83799 5.85699
1.85673 5.82154
1.87547 5.78645
1.89421 5.75172
1.91296 5.71735
1.9317 5.68333
1.95044 5.64966
1.96918 5.61633
1.98792 5.58335
2.00667 5.5507
2.02541 5.51839
2.04415 5.48641
2.06289 5.45476
2.08164 5.42343
2.10038 5.39243
2.11912 5.36174
2.13786 5.33136
2.1566 5.3013
2.17535 5.27155
2.19409 5.2421
2.21283 5.21295
2.23157 5.18411
2.25031 5.15555
2.26906 5.1273
2.2878 5.09933
2.30654 5.07164
2.32528 5.04425
2.34403 5.01713
2.36277 4.99029
2.38151 4.96373
2.40025 4.93743
2.41899 4.91141
2.43774 4.88566
2.45648 4.86017
2.47522 4.83494
2.49396 4.80997
2.5127 4.78525
2.53145 4.76079
2.55019 4.73658
2.56893 4.71262
2.58767 4.6889
2.60642 4.66543
2.62516 4.6422
2.6439 4.6192
2.66264 4.59644
2.68138 4.57392
2.70013 4.55162
2.71887 4.52956
2.73761 4.50772
2.75635 4.4861
2.77509 4.46471
2.79384 4.44354
2.81258 4.42258
2.83132 4.40184
2.85006 4.38131
2.86881 4.36099
2.88755 4.34088
2.90629 4.32097
2.92503 4.30127
2.94377 4.28178
2.96252 4.26248
2.98126 4.24338
3 4.22447
