x 18_k err
0.0005 23.7622 0.32
0.00140476 24.2196 0.32
0.00230952 23.5543 0.32
0.00321429 23.7607 0.32
0.00411905 23.4271 0.32
0.00502381 23.1245 0.32
0.00592857 22.5172 0.32
0.00683333 21.8986 0.32
0.0077381 21.0622 0.32
0.00864286 20.5823 0.32
0.00954762 20.299 0.32
0.0104524 20.1077 0.32
0.0113571 18.992 0.32
0.0122619 17.7789 0.32
0.0131667 18.6116 0.32
0.0140714 17.3974 0.32
0.0149762 16.8474 0.32
0.015881 17.3357 0.32
0.0167857 16.5321 0.32
0.0176905 16.5771 0.32
0.0185952 15.6309 0.32
0.0195 15.3672 0.32
0.045 14.6682 0.32
0.116341 13.1798 0.32
0.187683 12.7876 0.32
0.259024 11.804 0.32
0.330366 11.5363 0.32
0.401707 10.594 0.32
0.473049 9.47996 0.32
0.54439 9.57893 0.32
0.615732 8.69543 0.32
0.687073 8.49244 0.32
0.758415 7.76536 0.32
0.829756 7.42489 0.32
0.901098 6.96019 0.32
0.972439 6.71838 0.32
1.04378 6.43414 0.32
1.11512 6.51811 0.32
1.18646 5.5982 0.32
1.2578 5.66035 0.32
1.32915 5.62121 0.32
1.40049 4.81954 0.32
1.47183 5.05751 0.32
1.54317 4.93046 0.32
1.61451 4.72293 0.32
1.68585 4.36771 0.32
1.7572 4.35908 0.32
1.82854 4.30242 0.32
1.89988 3.92622 0.32
1.97122 3.97549 0.32
2.04256 3.79751 0.32
2.1139 4.10634 0.32
2.18524 3.99058 0.32
2.25659 3.67064 0.32
2.32793 3.72791 0.32
2.39927 3.2502 0.32
2.47061 3.41539 0.32
2.54195 3.21966 0.32
2.61329 3.56101 0.32
2.68463 3.4549 0.32
2.75598 3.02449 0.32
2.82732 3.19087 0.32
2.89866 2.84414 0.32
2.97 2.78311 0.32
