x,y_measured,yerr,y_model
0.000000,1.006287,0.050000,1.000000
0.101010,0.952432,0.050000,0.959037
0.202020,0.930331,0.050000,0.898310
0.303030,0.825630,0.050000,0.820385
0.404040,0.701292,0.050000,0.728075
0.505051,0.642441,0.050000,0.624361
0.606061,0.577511,0.050000,0.512311
0.707071,0.442359,0.050000,0.395005
0.808081,0.240278,0.050000,0.275464
0.909091,0.093314,0.050000,0.156585
1.010101,0.009913,0.050000,0.041077
1.111111,-0.066523,0.050000,-0.068589
1.212121,-0.286471,0.050000,-0.170220
1.313131,-0.272878,0.050000,-0.261939
1.414141,-0.404504,0.050000,-0.342208
1.515152,-0.446458,0.050000,-0.409845
1.616162,-0.491242,0.050000,-0.464029
1.717172,-0.520113,0.050000,-0.504298
1.818182,-0.509959,0.050000,-0.530540
1.919192,-0.490847,0.050000,-0.542973
2.020202,-0.548548,0.050000,-0.542121
2.121212,-0.460462,0.050000,-0.528785
2.222222,-0.537268,0.050000,-0.504008
2.323232,-0.451460,0.050000,-0.469036
2.424242,-0.380102,0.050000,-0.425276
2.525253,-0.369556,0.050000,-0.374256
2.626263,-0.354760,0.050000,-0.317585
2.727273,-0.302989,0.050000,-0.256903
2.828283,-0.216737,0.050000,-0.193850
2.929293,-0.119014,0.050000,-0.130024
3.030303,-0.117425,0.050000,-0.066944
3.131313,-0.016485,0.050000,-0.006027
3.232323,0.043487,0.050000,0.051448
3.333333,0.131396,0.050000,0.104353
3.434343,0.162468,0.050000,0.151735
3.535354,0.210591,0.050000,0.192822
3.636364,0.194344,0.050000,0.227035
3.737374,0.247506,0.050000,0.253987
3.838384,0.312681,0.050000,0.273482
3.939394,0.360179,0.050000,0.285507
4.040404,0.227272,0.050000,0.290225
4.141414,0.363651,0.050000,0.287955
4.242424,0.346455,0.050000,0.279161
4.343434,0.303495,0.050000,0.264430
4.444444,0.257674,0.050000,0.244451
4.545455,0.204300,0.050000,0.219996
4.646465,0.264794,0.050000,0.191893
4.747475,0.259018,0.050000,0.161005
4.848485,0.218294,0.050000,0.128212
4.949495,0.160138,0.050000,0.094383
5.050505,0.078230,0.050000,0.060361
5.151515,-0.033472,0.050000,0.026944
5.252525,-0.005353,0.050000,-0.005131
5.353535,-0.002377,0.050000,-0.035201
5.454545,-0.127106,0.050000,-0.062688
5.555556,-0.067354,0.050000,-0.087110
5.656566,-0.086589,0.050000,-0.108082
5.757576,-0.090520,0.050000,-0.125322
5.858586,-0.197856,0.050000,-0.138650
5.959596,-0.181074,0.050000,-0.147989
6.060606,-0.175179,0.050000,-0.153358
6.161616,-0.213355,0.050000,-0.154865
6.262626,-0.065734,0.050000,-0.152703
6.363636,-0.171933,0.050000,-0.147137
6.464646,-0.122049,0.050000,-0.138497
6.565657,-0.140092,0.050000,-0.127163
6.666667,-0.034382,0.050000,-0.113556
6.767677,-0.032105,0.050000,-0.098123
6.868687,-0.049662,0.050000,-0.081330
6.969697,-0.173819,0.050000,-0.063643
7.070707,-0.042924,0.050000,-0.045525
7.171717,0.006764,0.050000,-0.027420
7.272727,0.040452,0.050000,-0.009746
7.373737,-0.023781,0.050000,0.007114
7.474747,0.113919,0.050000,0.022818
7.575758,-0.028950,0.050000,0.037071
7.676768,0.016553,0.050000,0.049629
7.777778,0.107054,0.050000,0.060301
7.878788,0.071404,0.050000,0.068951
7.979798,0.175619,0.050000,0.075499
8.080808,0.089342,0.050000,0.079916
8.181818,0.050566,0.050000,0.082225
8.282828,0.063620,0.050000,0.082498
8.383838,0.026290,0.050000,0.080847
8.484848,0.013540,0.050000,0.077424
8.585859,0.103933,0.050000,0.072413
8.686869,0.095080,0.050000,0.066021
8.787879,0.123208,0.050000,0.058480
8.888889,0.012299,0.050000,0.050030
8.989899,0.125375,0.050000,0.040920
9.090909,0.017030,0.050000,0.031399
9.191919,0.100433,0.050000,0.021713
9.292929,-0.009545,0.050000,0.012094
9.393939,-0.034013,0.050000,0.002761
9.494949,0.006403,0.050000,-0.006087
9.595960,0.037299,0.050000,-0.014273
9.696970,-0.013598,0.050000,-0.021649
9.797980,-0.057366,0.050000,-0.028090
9.898990,-0.100564,0.050000,-0.033503
10.000000,-0.107899,0.050000,-0.037823
