x measured err
0 1.00629 0.05
0.10101 0.952432 0.05
0.20202 0.930331 0.05
0.30303 0.82563 0.05
0.40404 0.701292 0.05
0.505051 0.642441 0.05
0.606061 0.577511 0.05
0.707071 0.442359 0.05
0.808081 0.240278 0.05
0.909091 0.0933143 0.05
1.0101 0.00991303 0.05
1.11111 -0.0665226 0.05
1.21212 -0.286471 0.05
1.31313 -0.272878 0.05
1.41414 -0.404504 0.05
1.51515 -0.446458 0.05
1.61616 -0.491242 0.05
1.71717 -0.520113 0.05
1.81818 -0.509959 0.05
1.91919 -0.490847 0.05
2.0202 -0.548548 0.05
2.12121 -0.460462 0.05
2.22222 -0.537268 0.05
2.32323 -0.45146 0.05
2.42424 -0.380102 0.05
2.52525 -0.369556 0.05
2.62626 -0.35476 0.05
2.72727 -0.302989 0.05
2.82828 -0.216737 0.05
2.92929 -0.119014 0.05
3.0303 -0.117425 0.05
3.13131 -0.0164854 0.05
3.23232 0.0434869 0.05
3.33333 0.131396 0.05
3.43434 0.162468 0.05
3.53535 0.210591 0.05
3.63636 0.194344 0.05
3.73737 0.247506 0.05
3.83838 0.312681 0.05
3.93939 0.360179 0.05
4.0404 0.227272 0.05
4.14141 0.363651 0.05
4.24242 0.346455 0.05
4.34343 0.303495 0.05
4.44444 0.257674 0.05
4.54545 0.2043 0.05
4.64646 0.264794 0.05
4.74747 0.259018 0.05
4.84848 0.218294 0.05
4.94949 0.160138 0.05
5.05051 0.0782298 0.05
5.15152 -0.0334719 0.05
5.25253 -0.00535337 0.05
5.35354 -0.00237678 0.05
5.45455 -0.127106 0.05
5.55556 -0.0673541 0.05
5.65657 -0.0865888 0.05
5.75758 -0.0905195 0.05
5.85859 -0.197856 0.05
5.9596 -0.181074 0.05
6.06061 -0.175179 0.05
6.16162 -0.213355 0.05
6.26263 -0.0657341 0.05
6.36364 -0.171933 0.05
6.46465 -0.122049 0.05
6.56566 -0.140092 0.05
6.66667 -0.0343823 0.05
6.76768 -0.0321053 0.05
6.86869 -0.0496621 0.05
6.9697 -0.173819 0.05
7.07071 -0.042924 0.05
7.17172 0.00676381 0.05
7.27273 0.0404518 0.05
7.37374 -0.0237815 0.05
7.47475 0.113919 0.05
7.57576 -0.0289502 0.05
7.67677 0.0165528 0.05
7.77778 0.107054 0.05
7.87879 0.0714042 0.05
7.9798 0.175619 0.05
8.08081 0.0893417 0.05
8.18182 0.0505655 0.05
8.28283 0.0636197 0.05
8.38384 0.0262898 0.05
8.48485 0.0135402 0.05
8.58586 0.103933 0.05
8.68687 0.0950798 0.05
8.78788 0.123208 0.05
8.88889 0.0122993 0.05
8.9899 0.125375 0.05
9.09091 0.0170299 0.05
9.19192 0.100433 0.05
9.29293 -0.00954524 0.05
9.39394 -0.0340129 0.05
9.49495 0.00640275 0.05
9.59596 0.0372994 0.05
9.69697 -0.0135981 0.05
9.79798 -0.0573662 0.05
9.89899 -0.100564 0.05
10 -0.107899 0.05
