x model_fit
0 1
0.10101 0.959037
0.20202 0.89831
0.30303 0.820385
0.40404 0.728075
0.505051 0.624361
0.606061 0.512311
0.707071 0.395005
0.808081 0.275464
0.909091 0.156585
1.0101 0.0410768
1.11111 -0.0685889
1.21212 -0.17022
1.31313 -0.261939
1.41414 -0.342208
1.51515 -0.409845
1.61616 -0.464029
1.71717 -0.504298
1.81818 -0.53054
1.91919 -0.542973
2.0202 -0.542121
2.12121 -0.528785
2.22222 -0.504008
2.32323 -0.469036
2.42424 -0.425276
2.52525 -0.374256
2.62626 -0.317585
2.72727 -0.256903
2.82828 -0.19385
2.92929 -0.130024
3.0303 -0.0669443
3.13131 -0.00602661
3.23232 0.0514481
3.33333 0.104353
3.43434 0.151735
3.53535 0.192822
3.63636 0.227035
3.73737 0.253987
3.83838 0.273482
3.93939 0.285507
4.0404 0.290225
4.14141 0.287955
4.24242 0.279161
4.34343 0.26443
4.44444 0.244451
4.54545 0.219996
4.64646 0.191893
4.74747 0.161005
4.84848 0.128212
4.94949 0.0943828
5.05051 0.0603608
5.15152 0.026944
5.25253 -0.00513067
5.35354 -0.0352005
5.45455 -0.0626883
5.55556 -0.0871102
5.65657 -0.108082
5.75758 -0.125322
5.85859 -0.13865
5.9596 -0.147989
6.06061 -0.153358
6.16162 -0.154865
6.26263 -0.152703
6.36364 -0.147137
6.46465 -0.138497
6.56566 -0.127163
6.66667 -0.113556
6.76768 -0.0981234
6.86869 -0.0813297
6.9697 -0.0636432
7.07071 -0.0455254
7.17172 -0.0274205
7.27273 -0.00974629
7.37374 0.00711389
7.47475 0.0228181
7.57576 0.0370713
7.67677 0.0496292
7.77778 0.0603012
7.87879 0.0689515
7.9798 0.0754989
8.08081 0.0799158
8.18182 0.0822252
8.28283 0.0824979
8.38384 0.0808471
8.48485 0.0774242
8.58586 0.0724126
8.68687 0.0660215
8.78788 0.0584798
8.88889 0.0500296
8.9899 0.0409196
9.09091 0.0313993
9.19192 0.0217129
9.29293 0.012094
9.39394 0.00276128
9.49495 -0.00608652
9.59596 -0.0142733
9.69697 -0.0216486
9.79798 -0.0280897
9.89899 -0.0335026
10 -0.0378226
